Location,Team,Opponent,WAB,ADJO,ADJD,EFF,EFG%,TO%,OR%,FTR,2P,3P,Opp EFF,Opp EFG%,Opp TO%,Opp OR%,Opp FTR,Opp 2P,Opp 3P,Opponent_score,Team_score
A,Stanford,Santa Clara,0.8,104.6,93.9,101.2,48.4,17.1,35.7,33.3,23-50,5-13,98.3,45.3,24.2,36.4,49.1,18-34,4-19,69,71
N,Stanford,Grand Canyon,0.1,101.6,98.7,95.2,41.3,17.4,31.6,38.1,20-41,4-22,104.6,50.9,16.1,18.8,53.7,20-42,5-12,78,71
H,Stanford,Cal Poly,-0.9,114.9,124.2,117.0,53.7,11.7,26.3,32.8,21-34,10-33,126.1,63.9,18.2,26.7,36.1,21-31,12-30,97,90
H,Stanford,Utah Valley,-0.8,105.2,89.2,104.3,51.6,17.6,27.0,27.0,25-43,5-20,85.3,40.8,16.3,25.0,24.6,19-48,5-17,63,77
A,Stanford,California,-0.4,136.5,110.0,134.7,62.3,10.6,26.9,35.1,19-34,11-23,122.6,47.9,10.6,47.6,22.5,22-50,8-21,81,89
H,Stanford,Merrimack,-0.3,116.0,105.5,110.0,54.5,16.3,29.7,35.7,14-33,11-23,101.1,50.0,16.3,15.6,30.9,17-30,7-25,68,74
H,California,Cal St. Bakersfield,0.0,113.4,104.0,118.2,48.2,15.1,39.5,70.2,17-34,7-23,100.3,50.8,23.4,35.0,29.0,18-46,9-16,73,86
H,California,Cal Poly,0.1,111.4,101.4,120.4,54.6,13.2,37.8,43.1,19-39,11-26,96.5,46.6,23.8,25.6,39.7,12-32,10-26,73,91
A,California,Vanderbilt,-0.3,93.7,100.8,90.7,48.2,26.3,23.5,38.2,19-41,5-14,111.8,56.6,10.5,21.1,22.1,28-43,7-25,85,69
A,California,USC,0.2,113.6,95.9,107.7,55.5,19.7,25.0,23.6,20-34,7-21,100.1,49.1,15.2,27.3,24.6,19-36,6-21,66,71
H,California,Air Force,0.2,111.5,111.5,118.1,57.7,22.7,43.3,51.9,24-39,4-13,104.5,61.8,24.2,25.0,21.6,15-27,11-24,69,78
H,California,Sacramento St.,0.3,110.4,120.5,116.2,53.8,18.2,35.1,73.6,18-27,7-26,107.8,51.7,15.4,27.8,44.8,15-31,10-27,77,83
H,California,Mercyhurst,0.3,109.4,96.9,124.5,65.1,21.5,37.0,34.0,18-32,11-21,84.5,40.6,16.9,20.0,30.2,17-40,3-13,55,81
A,California,Missouri,-0.1,130.3,112.3,122.4,58.1,19.7,42.4,40.3,21-38,10-24,129.0,68.9,14.5,20.0,71.7,32-44,3-9,98,93
H,California,Stanford,-0.9,120.4,131.1,122.6,47.9,10.6,47.6,22.5,22-50,8-21,134.7,62.3,10.6,26.9,35.1,19-34,11-23,89,81
H,California,Cornell,-1.7,103.8,117.2,109.5,53.1,24.6,43.6,25.0,16-31,12-33,120.5,56.0,13.7,33.3,29.9,24-35,9-32,88,80
H,California,Northwestern St.,-1.7,121.9,114.4,130.7,64.2,20.2,37.9,39.6,16-28,12-25,102.7,50.0,17.1,35.1,27.6,17-38,8-20,66,84
H,Clemson,Charleston Southern,0.0,119.6,100.1,129.8,57.7,10.0,36.1,36.9,21-44,11-21,91.3,51.0,25.7,28.9,54.0,9-25,11-25,64,91
H,Clemson,Saint Francis,0.1,112.2,94.9,122.5,69.6,22.3,32.0,30.4,21-29,12-27,86.3,46.4,22.3,20.0,25.0,14-36,8-20,62,88
H,Clemson,Eastern Kentucky,0.1,110.3,97.8,115.9,51.6,20.1,50.0,31.1,21-37,7-24,95.8,47.5,23.2,37.1,8.2,20-37,6-24,62,75
A,Clemson,Boise St.,-0.2,112.4,106.0,100.2,41.2,11.3,31.1,29.4,19-43,6-25,118.5,51.8,16.9,35.5,54.5,18-31,7-24,84,71
H,Clemson,Radford,-0.2,113.8,84.0,123.0,62.2,17.1,23.1,44.9,14-26,11-23,79.4,34.5,17.1,26.8,34.5,13-35,4-20,51,79
N,Clemson,San Francisco,0.3,119.2,90.1,113.8,54.3,19.5,43.8,17.2,21-41,7-17,89.4,47.1,21.1,16.1,13.7,12-27,8-24,55,70
N,Clemson,Penn St.,0.9,115.2,91.0,108.2,51.8,18.8,31.4,35.1,16-38,9-19,96.7,50.0,24.5,30.3,26.8,22-38,4-18,67,75
H,Clemson,Florida A&M,0.9,115.4,108.7,130.0,57.5,13.6,39.4,33.3,21-35,9-25,87.6,51.8,24.2,20.0,10.9,12-29,11-26,58,86
H,Clemson,Kentucky,1.5,109.7,86.3,103.3,43.1,11.8,34.1,29.2,16-40,8-25,97.4,43.7,17.7,34.1,28.6,17-36,7-27,66,70
A,Clemson,Miami FL,1.9,103.7,84.5,109.7,47.4,11.8,33.3,20.7,14-31,9-27,92.8,44.6,21.9,35.3,10.7,19-31,4-25,55,65
H,Clemson,Memphis,1.3,114.0,107.0,109.9,52.2,17.4,33.3,22.4,20-36,10-31,116.6,61.7,21.4,32.3,28.3,19-35,12-25,87,82
A,Clemson,South Carolina,0.9,123.3,113.4,116.5,53.9,13.2,25.0,32.8,21-43,9-21,120.4,57.8,15.9,35.5,58.6,23-41,7-17,91,88
H,Syracuse,Le Moyne,0.0,102.1,117.6,111.2,45.8,14.2,44.4,43.1,27-50,4-22,106.0,57.0,20.7,21.2,40.4,19-32,9-25,82,86
H,Syracuse,Colgate,0.1,102.5,107.1,105.7,50.0,10.0,26.2,11.4,23-47,8-23,102.8,51.6,8.6,12.8,17.2,18-37,10-27,72,74
H,Syracuse,Youngstown St.,0.1,115.7,120.5,116.0,54.1,12.3,31.0,52.1,32-51,5-22,106.0,50.0,11.2,14.0,41.7,24-41,8-31,95,104
N,Syracuse,Texas,-0.3,102.3,98.7,97.6,50.0,16.3,22.9,31.6,21-36,5-21,103.6,50.0,14.8,26.7,24.1,23-43,4-15,70,66
N,Syracuse,Texas Tech,-0.7,117.4,104.3,109.4,47.2,17.7,32.3,52.8,16-32,6-21,116.8,49.2,4.4,23.7,33.3,19-39,8-24,79,74
H,Syracuse,Cornell,-0.5,101.5,94.3,108.5,44.5,7.9,29.5,27.4,25-60,5-13,95.2,50.0,15.9,10.3,19.4,13-22,12-40,72,82
A,Syracuse,Tennessee,-0.6,124.8,117.4,99.7,54.7,15.7,15.6,39.6,20-34,6-19,136.8,61.5,11.4,38.2,36.9,25-36,10-29,96,70
A,Syracuse,Notre Dame,-1.1,98.5,94.3,94.0,47.1,19.1,21.9,47.1,24-42,0-9,101.3,53.1,22.0,27.3,55.1,14-27,8-22,69,64
H,Syracuse,Albany,-1.1,130.1,120.0,140.1,68.3,15.1,37.5,28.6,34-48,6-15,116.8,52.9,6.9,29.3,27.1,22-42,10-28,85,102
H,Syracuse,Georgetown,-1.9,110.7,109.1,104.4,46.3,14.7,29.4,53.7,19-38,4-16,110.3,52.3,14.7,33.3,16.9,25-40,6-25,75,71
