"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"Northern KentuckyFlorida St.11-4",2024-11-04,"Florida St.","Florida St.",74,62,"H",95.2,88,96.4,47.6,15.6,18.9,28.6,18.18,95.2,88,96.4,47.6,15.6,18.9,28.6,18.18
"Northwestern St.California12-14",2024-12-14,"California","California",84,66,"H",124.9,114.5,130.7,64.2,20.2,37.9,39.6,48,124.9,114.5,130.7,64.2,20.2,37.9,39.6,48
"Notre DameDuke1-11",2025-01-11,"Notre Dame","Duke",78,86,"A",140.3,116.6,120.7,59.6,10.8,15.6,28.1,58.33,136.6,108.7,133.1,62.2,12.4,30.4,77.8,33.33
"Notre DameGeorgetown11-16",2024-11-16,"Notre Dame","Notre Dame",84,63,"A",144.7,100.6,130.9,67.6,18.7,34.8,22.2,42.86,144.7,100.6,130.9,67.6,18.7,34.8,22.2,42.86
"Notre DameGeorgia Tech12-31",2024-12-31,"Notre Dame","Georgia Tech",75,86,"A",123.1,134.6,116.7,50.8,15.6,40,22.6,42.86,134.7,107.4,133.8,64.2,12.4,37.5,47.2,40
"Notre DameGeorgia12-3",2024-12-03,"Notre Dame","Notre Dame",48,69,"A",98.2,105.7,81.7,40.4,17,21.2,17.3,21.05,98.2,105.7,81.7,40.4,17,21.2,17.3,21.05
"Notre DameMiami FL2-1",2025-02-01,"Notre Dame","Miami FL",57,63,"A",95.5,97.5,98.8,50.9,20.8,34.4,16.7,37.5,104.1,96.5,109.2,50,10.4,28.6,34,22.22
"Notre DameN.C. State1-8",2025-01-08,"Notre Dame","Notre Dame",65,66,"A",115.6,104.4,108,53.8,16.6,26.7,25,42.11,115.6,104.4,108,53.8,16.6,26.7,25,42.11
"Notre DameRutgers11-26",2024-11-26,"Notre Dame","Notre Dame",84,85,"N",119.9,108,114.7,54.5,19.1,37.8,22.7,42.42,119.9,108,114.7,54.5,19.1,37.8,22.7,42.42
"Notre DameSyracuse1-18",2025-01-18,"Notre Dame","Syracuse",69,77,"A",106.5,101.9,98.8,46.5,18.6,32.4,31.6,35.71,104,97.4,110.2,48.3,12.9,25.6,58.6,33.33
"Notre DameVirginia1-25",2025-01-25,"Notre Dame","Virginia",74,59,"A",134.9,96.8,126.9,58.9,12,33.3,19.6,52.17,99.2,119.8,101.2,49.1,10.3,19.4,8.8,43.48
"OregonStanford12-21",2024-12-21,"Stanford","Stanford",61,76,"N",94.4,104.7,89.7,43.5,13.2,23.8,21,26.67,94.4,104.7,89.7,43.5,13.2,23.8,21,26.67
"Penn St.Virginia Tech11-15",2024-11-15,"Virginia Tech","Virginia Tech",64,86,"N",93.3,108.4,87.3,50,32.7,32.1,57.8,27.78,93.3,108.4,87.3,50,32.7,32.1,57.8,27.78
"PittsburghDuke1-7",2025-01-07,"Pittsburgh","Duke",47,76,"A",95.2,94.4,72.7,36.2,17,22,13.8,30,112.9,73.1,117.5,60.6,21.6,34.6,34.6,55
"PittsburghFlorida St.1-15",2025-01-15,"Pittsburgh","Florida St.",70,82,"A",97.1,99.5,89.7,44.6,21.8,17.1,39.3,38.1,105.8,83.8,105,48.2,19.2,24.2,58.9,31.58
