"date","team","opp","adj_o","adj_d"
2024-11-22,"Baylor","Tennessee",111.9,119.2
2024-11-21,"Virginia","Tennessee",89.9,89.1
2024-11-17,"Austin Peay","Tennessee",117.2,124.2
2024-11-13,"Montana","Tennessee",110.1,111.5
2024-11-09,"Louisville","Tennessee",96.9,103.2
2024-11-04,"Gardner Webb","Tennessee",113.7,104.9
2024-12-14,"Texas A&M","Purdue",114.4,88.1
2024-12-08,"Maryland","Purdue",122.6,102.1
2024-12-05,"Penn St.","Purdue",121.7,84.9
2024-11-29,"Mississippi","Purdue",129.5,114.8
2024-11-28,"N.C. State","Purdue",109.9,105.5
2024-11-23,"Marshall","Purdue",77.3,100.4
2024-11-19,"Marquette","Purdue",113.9,79.7
2024-11-15,"Alabama","Purdue",126.8,110.5
2024-11-11,"Yale","Purdue",122.8,111.9
2024-11-08,"Northern Kentucky","Purdue",87.7,100.1
2024-11-04,"Texas A&M Corpus Chris","Purdue",109.9,105.5
2024-12-20,"Cincinnati","Dayton",111.4,80.5
2024-12-17,"UNLV","Dayton",112.9,100
2024-12-14,"Marquette","Dayton",112.3,97.7
2024-12-07,"Lehigh","Dayton",102.8,121.8
2024-12-03,"Western Michigan","Dayton",125.2,112.8
2024-11-27,"Connecticut","Dayton",112.2,114.1
2024-11-26,"Iowa St.","Dayton",132.4,112.4
2024-11-25,"North Carolina","Dayton",120,107.1
2024-11-20,"New Mexico St.","Dayton",97.3,104.1
2024-11-13,"Ball St.","Dayton",97.8,101.3
2024-11-09,"Northwestern","Dayton",104.6,89.3
2024-11-04,"Saint Francis","Dayton",89.2,106.1
2024-12-18,"Samford","Arizona",105.3,118
2024-12-14,"UCLA","Arizona",96.8,78.3
2024-12-07,"Southern Utah","Arizona",98.3,118
2024-11-29,"West Virginia","Arizona",124.8,97.2
2024-11-28,"Oklahoma","Arizona",133.6,99.4
2024-11-27,"Davidson","Arizona",108.3,114.5
2024-11-22,"Duke","Arizona",112.3,75.5
2024-11-15,"Wisconsin","Arizona",136.9,99.9
2024-11-09,"Old Dominion","Arizona",76.7,117
2024-11-04,"Canisius","Arizona",98.4,118.1
2024-12-18,"Toledo","Houston",85.8,94.4
2024-12-10,"Troy","Houston",90.2,100.7
2024-12-07,"Butler","Houston",107.7,108.8
2024-11-30,"San Diego St.","Houston",134.2,99.3
2024-11-27,"Notre Dame","Houston",107.3,94
2024-11-26,"Alabama","Houston",132.9,95.6
2024-11-22,"Hofstra","Houston",87.4,109.7
2024-11-13,"Louisiana","Houston",84.8,105.1
2024-11-09,"Auburn","Houston",139.4,101
2024-11-04,"Jackson St.","Houston",78.3,121
2024-12-18,"Oklahoma","Michigan",133.9,113.1
2024-12-10,"Arkansas","Michigan",124.8,102.1
2024-12-07,"Iowa","Michigan",120.5,104.8
2024-12-03,"Wisconsin","Michigan",103.9,89.6
2024-11-27,"Xavier","Michigan",85.8,96
2024-11-25,"Virginia Tech","Michigan",102.8,93.4
2024-11-21,"Tarleton St.","Michigan",87,96.6
2024-11-18,"Miami OH","Michigan",107.1,110.8
2024-11-15,"TCU","Michigan",98.7,92.4
2024-11-10,"Wake Forest","Michigan",112.3,94.4
2024-11-04,"Cleveland St.","Michigan",85.5,115
